id|province|rate_2015|rate_2005
02|Albacete|21.97|10.78
03|Alicante/Alacant|22.96|10.28
04|Almería|25.13|9.83
01|Araba/Álava|12.21|6.46
33|Asturias|20.33|9.3
05|Ávila|21.08|8.52
06|Badajoz|30.01|16.58
07|Illes Balears|17.02|7.5
08|Barcelona|17.15|6.51
48|Bizkaia|14.79|7.12
09|Burgos|17.72|6.47
10|Cáceres|24.68|12.86
11|Cádiz|36.73|17.41
39|Cantabria|17.71|8.01
12|Castellón/Castelló|19.53|6.56
13|Ciudad Real|28.95|10.02
14|Córdoba|29.7|15.67
15|A Coruña|15.81|9.07
16|Cuenca|18.78|7.72
20|Gipuzkoa|10.16|5.36
17|Girona|19.73|6.68
18|Granada|28.82|13.14
19|Guadalajara|19.29|7.01
21|Huelva|32.65|16.52
22|Huesca|12.38|6.75
23|Jaén|30.84|17.04
24|León|20.31|10.77
25|Lleida|14.26|6.86
27|Lugo|15.85|7.53
28|Madrid|16.51|5.9
29|Málaga|26.98|11.06
30|Murcia|23.51|7.43
31|Navarra|13.53|5.92
32|Ourense|18.78|9.44
34|Palencia|19.09|5.21
35|Las Palmas|27.64|12.0
36|Pontevedra|20.47|9.68
26|La Rioja|13.97|6.69
37|Salamanca|15.78|11.92
38|Santa Cruz de Tenerife|25.82|9.62
40|Segovia|15.75|4.96
41|Sevilla|29.08|13.0
42|Soria|13.33|4.06
43|Tarragona|21.86|7.42
44|Teruel|13.0|5.54
45|Toledo|27.91|9.48
46|Valencia/València|20.79|7.08
47|Valladolid|15.62|8.12
49|Zamora|19.56|10.71
50|Zaragoza|15.33|5.56
51|Ceuta|23.25|17.14
52|Melilla|32.64|12.3
